39,939,9,775
71,994,7,928
57,917,674,402,985
90,808,504,550,889
92,808,16,903
61,904,56,441,886
74,994,238,501,964
25,975,33,347,857
71,937,166,618,886
30,993,915,178,917
39,951,386,472,893
49,913,547,313,965
49,886,514,575,824
59,775,227,988
59,996,59,937
65,996,465,745,943
74,914,78,656,775
42,982,541,373,979
61,763,284,373,803
29,975,177,872
69,996,277,379,889
19,714,7,994
29,682,32,74,999
16,787,38,841
37,983,8,870
90,994,7,933
29,988,10,765
61,889,63,136,824
97,851,65,214,940
90,765,582,393,868
73,859,720,914
42,979,24,765
65,989,28,913
69,917,224,354,965
42,903,716,641,714
56,908,36,209,981
52,913,12,110,942
42,961,731,800
30,682,432,623
23,714,10,988
75,729,0,855
71,702,77,913
48,815,555,131,989
23,978,24,800
56,953,527,54,982
74,797,41,894,939
17,872,25,995
30,933,535,504,872
36,919,36,908
56,913,28,896
21,985,484,791,877
99,981,19,702
25,873,622,881,980
102,929,2,765
30,964,5,873
23,877,577,974
90,911,427,167,984
49,979,884,737,965
71,882,26,999
42,964,21,295,944
49,961,354,210,904
29,973,11,931
40,951,386,266,797
90,914,4,980
25,978,239,463,787
74,937,127,546,998
90,937,14,995
48,982,452,232,775
57,908,36,174,911
42,940,36,435,939
53,979,62,833
71,919,475,953
20,925,25,270,948
37,983,183,938
68,956,205,933
23,980,60,984
25,877,4,978
39,896,633,334,922
48,841,136,868
30,962,278,101,913
74,857,750,103,928
49,943,15,835
57,963,694,884,939
76,999,7,933
42,860,796,566,978
100,981,300,83,824
59,896,9,877
85,623,432,315,882
80,824,142,978
29,877,30,37,724
78,807,21,527,928
37,973,377,585,908
42,951,386,148,964
42,682,10,950
35,948,869,782,965
74,919,95,860
49,841,36,940
30,868,9,775
30,877,21,873
80,999,3,808
49,940,36,877
52,943,423,666,872
74,702,225,953
53,940,354,210,996
68,889,14,944
48,995,141,384,992
75,855,537,521,933
80,803,4,870
36,965,29,775
88,623,475,146,883
25,714,263,531,991
38,942,17,24,797
65,896,53,990,996
39,883,18,449,913
80,803,450,953
42,993,892,221,994
92,937,22,938
89,623,608,68,896
41,858,254,784,922
74,882,2,765
53,886,63,495,803
48,682,4,803
57,953,685,751,950
101,981,14,47,919
84,950,36,457,995
21,925,3,808
98,950,703,391,994
42,877,9,29,962
101,972,5,975
67,953,469,844,948
19,991,42,84,858
48,682,434,107,994
29,873,740,150,765
92,914,4,964
36,925,524,765
30,935,29,270,948
80,999,344,475,953
49,682,142,614,973
71,889,358,854,882
67,893,791,194,787
42,912,36,344,936
90,882,48,57,951
37,973,152,893
48,995,795,940
52,841,414,763
57,913,11,981
48,982,849,382,623
84,803,152,357,944
69,913,12,161,908
85,807,8,841
90,919,36,513,807
29,978,657,931
56,841,123,981
98,803,581,466,860
71,925,25,286,882
39,942,551,197,931
92,994,408,472,893
122,803,581,466,985
49,903,716,194,775
42,933,18,984
48,877,21,348,943
36,985,617,451,833
36,928,103,230,942
84,999,253,763
48,964,29,965
53,961,354,210,925
92,882,466,860
42,935,102,886
36,900,16,904
75,859,329,300,896
89,623,475,146,974
78,996,16,808
56,943,26,73,815
65,775,43,206,969
74,969,206,961
122,950,258,93,974
42,868,6,682
39,983,315,105,961
61,940,17,376,979
48,868,856,454,872
39,883,195,64,858
25,724,101,950
97,994,107,149,883
71,985,2,929
49,982,368,815
41,858,60,471,925
30,873,5,993
125,950,36,964
90,857,469,844,948
74,946,29,935
71,917,292,606,800
39,983,148,244,998
52,682,32,501,961
101,851,65,245,729
98,999,26,575,987
48,912,7,928
50,858,254,784,922
71,974,13,975
92,857,164,808
49,951,242,541,982
59,939,11,980
68,940,447,733,872
59,983,8,996
126,950,27,987
98,623,78,914
