Epoch,Total Event,Max,Min,Mean,Std Dev
228,61,9,5,6.100000,1.663330
229,71,9,6,7.100000,0.875595
230,71,8,6,7.100000,0.875595
231,83,12,7,8.300000,1.946507
232,81,12,6,8.100000,2.024846
233,67,11,6,6.700000,1.567021
234,57,7,5,5.700000,0.823273
235,47,5,4,4.700000,0.483046
236,52,6,4,5.200000,0.632456
237,62,10,5,6.200000,1.686548
238,68,12,5,6.800000,2.043961
239,60,8,5,6.000000,1.054093
240,54,6,5,5.400000,0.516398
241,61,7,5,6.100000,0.737865
242,60,11,4,6.000000,2.160247
243,46,6,4,4.600000,0.699206
244,53,7,4,5.300000,0.948683
245,54,8,4,5.400000,1.173788
246,64,10,5,6.400000,1.577621
247,65,12,5,6.500000,2.223611
248,63,8,5,6.300000,0.823273
249,50,7,4,5.000000,1.154701
250,51,6,4,5.100000,0.875595
251,55,7,4,5.500000,0.971825
252,59,12,4,5.900000,2.558211
253,42,9,3,4.200000,1.873796
254,54,6,5,5.400000,0.516398
255,56,13,4,5.600000,2.875181
256,74,16,6,7.400000,3.062316
257,82,13,6,8.200000,2.394438
258,78,12,5,7.800000,2.299758
259,62,8,5,6.200000,1.032796
260,51,6,5,5.100000,0.316228
261,52,7,4,5.200000,1.032796
262,48,9,4,4.800000,1.619328
263,42,5,3,4.200000,0.632456
264,78,9,7,7.800000,0.788811
265,87,14,6,8.700000,2.945807
266,78,16,6,7.800000,3.155243
267,84,15,6,8.400000,2.674987
268,75,13,5,7.500000,2.635231
269,72,10,6,7.200000,1.398412
270,56,8,5,5.600000,1.074968
271,56,8,5,5.600000,0.966092
272,65,9,5,6.500000,1.354006
273,61,13,4,6.100000,2.558211
274,44,8,3,4.400000,1.349897
275,36,5,3,3.600000,0.699206
276,57,6,5,5.700000,0.483046
277,48,7,4,4.800000,1.032796
278,55,9,4,5.500000,1.433721
279,47,6,4,4.700000,0.948683
280,50,8,4,5.000000,1.247219
281,49,9,4,4.900000,1.595131
282,48,6,4,4.800000,0.632456
283,47,7,4,4.700000,1.059350
284,46,8,3,4.600000,1.429841
285,46,7,4,4.600000,0.966092
286,56,8,5,5.600000,0.966092
287,63,12,5,6.300000,2.110819
288,52,7,4,5.200000,0.918937
289,57,9,5,5.700000,1.337494
290,53,9,4,5.300000,1.567021
291,63,11,5,6.300000,2.057507
292,56,8,5,5.600000,0.966092
293,54,9,4,5.400000,1.712698
294,60,9,5,6.000000,1.490712
295,48,7,4,4.800000,1.135292
296,50,8,4,5.000000,1.247219
297,52,6,5,5.200000,0.421637
298,69,11,5,6.900000,1.791957
299,75,13,6,7.500000,2.013841
300,80,13,6,8.000000,2.624669
301,83,12,6,8.300000,2.311805
302,78,9,7,7.800000,0.788811
303,73,9,6,7.300000,0.948683
304,75,14,6,7.500000,2.718251
305,75,13,5,7.500000,2.505549
306,63,8,5,6.300000,0.823273
307,73,9,6,7.300000,1.059350
308,66,8,5,6.600000,1.173788
309,67,14,5,6.700000,2.668749
310,56,10,4,5.600000,1.646545
311,56,6,5,5.600000,0.516398
312,66,10,5,6.600000,1.505545
313,56,9,5,5.600000,1.264911
314,51,9,4,5.100000,1.595131
315,51,7,4,5.100000,0.994429
316,45,6,4,4.500000,0.849837
317,45,6,3,4.500000,1.178511
318,49,8,4,4.900000,1.197219
319,49,10,4,4.900000,1.852926
320,58,11,4,5.800000,2.097618
321,62,11,5,6.200000,1.813529
322,49,9,4,4.900000,1.911951
323,47,6,4,4.700000,0.823273
324,45,5,4,4.500000,0.527046
325,45,5,4,4.500000,0.527046
326,48,8,4,4.800000,1.229273
327,54,7,5,5.400000,0.699206
328,50,7,4,5.000000,0.942809
329,55,7,5,5.500000,0.707107
330,70,9,6,7.000000,1.154701
331,63,10,5,6.300000,1.567021
332,68,9,5,6.800000,1.316561
333,51,7,4,5.100000,0.994429
334,45,6,4,4.500000,0.707107
335,42,6,3,4.200000,0.918937
336,48,6,4,4.800000,0.788811
337,59,11,4,5.900000,1.969207
338,91,15,7,9.100000,2.514403
339,65,10,5,6.500000,1.509231
340,58,7,5,5.800000,0.788811
341,66,9,5,6.600000,1.349897
342,60,7,5,6.000000,0.666667
343,45,5,4,4.500000,0.527046
344,51,8,4,5.100000,1.370320
345,48,9,4,4.800000,1.549193
346,57,8,4,5.700000,1.059350
347,51,7,4,5.100000,0.994429
348,56,7,5,5.600000,0.843274
349,73,11,6,7.300000,1.494434
350,105,18,7,10.500000,3.308239
351,97,19,7,9.700000,3.560587
352,82,12,7,8.200000,1.619328
353,60,8,5,6.000000,1.154701
354,71,10,6,7.100000,1.100505
355,62,8,5,6.200000,0.918937
356,55,7,5,5.500000,0.849837
357,46,6,4,4.600000,0.966092
358,54,6,5,5.400000,0.516398
359,59,7,5,5.900000,0.875595
360,62,8,5,6.200000,1.032796
361,54,7,4,5.400000,1.074968
362,51,7,4,5.100000,0.994429
363,51,6,4,5.100000,0.737865
364,58,7,5,5.800000,0.632456
365,54,7,5,5.400000,0.699206
366,59,12,4,5.900000,2.378141
367,61,12,4,6.100000,2.469818
368,57,8,5,5.700000,1.059350
369,52,14,4,5.200000,3.119829
370,54,10,4,5.400000,1.776388
371,43,6,4,4.300000,0.674949
372,44,6,4,4.400000,0.699206
373,50,6,4,5.000000,0.666667
374,53,7,4,5.300000,1.251666
375,55,8,4,5.500000,1.080123
376,54,7,5,5.400000,0.699206
377,60,8,5,6.000000,1.054093
378,59,7,5,5.900000,0.875595
379,57,9,4,5.700000,1.567021
380,42,9,3,4.200000,1.813529
381,61,8,5,6.100000,0.994429
382,46,6,4,4.600000,0.699206
383,60,8,5,6.000000,1.154701
384,61,9,4,6.100000,1.852926
385,62,10,4,6.200000,2.299758
386,50,6,4,5.000000,0.816497
387,45,8,4,4.500000,1.269296
388,46,5,4,4.600000,0.516398
389,50,7,4,5.000000,0.942809
390,46,7,4,4.600000,1.074968
391,44,6,4,4.400000,0.699206
392,44,6,4,4.400000,0.843274
393,43,7,4,4.300000,0.948683
394,45,5,4,4.500000,0.527046
395,45,6,4,4.500000,0.849837
396,44,6,4,4.400000,0.699206
397,46,5,4,4.600000,0.516398
398,51,7,4,5.100000,1.100505
399,58,10,4,5.800000,1.813529
400,60,12,4,6.000000,2.309401
401,52,6,5,5.200000,0.421637
402,61,7,5,6.100000,0.567646
403,87,15,7,8.700000,2.406011
404,95,15,7,9.500000,2.460804
405,77,11,6,7.700000,1.636392
406,68,16,5,6.800000,3.326660
407,76,14,6,7.600000,2.412928
