Epoch,Total Event,Max,Min,Mean,Std Dev
247,65,12,5,6.5,2.223611
248,63,8,5,6.3,0.823273
249,50,7,4,5,1.154701
250,51,6,4,5.1,0.875595
251,55,7,4,5.5,0.971825
252,59,12,4,5.9,2.558211
253,42,9,3,4.2,1.873796
254,54,6,5,5.4,0.516398
255,56,13,4,5.6,2.875181
256,74,16,6,7.4,3.062316
257,82,13,6,8.2,2.394438
258,78,12,5,7.8,2.299758
259,62,8,5,6.2,1.032796
260,51,6,5,5.1,0.316228
261,52,7,4,5.2,1.032796
262,48,9,4,4.8,1.619328
263,42,5,3,4.2,0.632456
264,78,9,7,7.8,0.788811
265,87,14,6,8.7,2.945807
266,78,16,6,7.8,3.155243
267,84,15,6,8.4,2.674987
268,75,13,5,7.5,2.635231
269,72,10,6,7.2,1.398412
270,56,8,5,5.6,1.074968
271,56,8,5,5.6,0.966092
272,65,9,5,6.5,1.354006
273,61,13,4,6.1,2.558211
274,44,8,3,4.4,1.349897
275,36,5,3,3.6,0.699206
276,57,6,5,5.7,0.483046
277,48,7,4,4.8,1.032796
278,55,9,4,5.5,1.433721
279,47,6,4,4.7,0.948683
280,50,8,4,5,1.247219
281,49,9,4,4.9,1.595131
282,48,6,4,4.8,0.632456
283,47,7,4,4.7,1.05935
284,46,8,3,4.6,1.429841
285,46,7,4,4.6,0.966092
286,56,8,5,5.6,0.966092
287,63,12,5,6.3,2.110819
288,52,7,4,5.2,0.918937
289,57,9,5,5.7,1.337494
290,53,9,4,5.3,1.567021
291,63,11,5,6.3,2.057507
292,56,8,5,5.6,0.966092
293,54,9,4,5.4,1.712698
294,60,9,5,6,1.490712
295,48,7,4,4.8,1.135292
296,50,8,4,5,1.247219
297,52,6,5,5.2,0.421637
298,69,11,5,6.9,1.791957
299,75,13,6,7.5,2.013841
300,80,13,6,8,2.624669
301,83,12,6,8.3,2.311805
302,78,9,7,7.8,0.788811
303,73,9,6,7.3,0.948683
304,75,14,6,7.5,2.718251
305,75,13,5,7.5,2.505549
306,63,8,5,6.3,0.823273
307,73,9,6,7.3,1.05935
308,66,8,5,6.6,1.173788
309,67,14,5,6.7,2.668749
310,56,10,4,5.6,1.646545
311,56,6,5,5.6,0.516398
312,66,10,5,6.6,1.505545
313,56,9,5,5.6,1.264911
314,51,9,4,5.1,1.595131
315,51,7,4,5.1,0.994429
316,45,6,4,4.5,0.849837
317,45,6,3,4.5,1.178511
318,49,8,4,4.9,1.197219
319,49,10,4,4.9,1.852926
320,58,11,4,5.8,2.097618
321,62,11,5,6.2,1.813529
