Epoch,Total Events,Max events per LP,Mean,Std Dev
507,2,2,0.012345679,0.15713484
508,2,2,0.012345679,0.15713484
509,13,3,0.080745342,0.334946923
510,20,3,0.122699387,0.412355566
511,1,1,0.006578947,0.081110711
512,1,1,0.006578947,0.081110711
513,1,1,0.006622517,0.081378846
514,1,1,0.006622517,0.081378846
515,14,2,0.092715232,0.333686347
516,22,5,0.146666667,0.572134431
517,1,1,0.007142857,0.084515425
518,1,1,0.007142857,0.084515425
519,13,5,0.09352518,0.50922058
520,12,2,0.086330935,0.350610531
521,7,2,0.052631579,0.25571615
522,34,7,0.261538462,0.840393468
523,410,13,2.949640288,1.866267068
524,3,1,0.014218009,0.11867013
525,3,1,0.014218009,0.11867013
526,7,1,0.033492823,0.180351556
527,9,2,0.04245283,0.224325472
528,11,2,0.053398058,0.265151787
529,13,2,0.0625,0.296415787
530,1,1,0.004950495,0.070359754
531,1,1,0.004950495,0.070359754
532,8,2,0.039800995,0.220018091
533,8,2,0.039800995,0.220018091
534,2,1,0.01010101,0.100248371
535,2,1,0.01010101,0.100248371
536,1,1,0.005102041,0.071428571
537,1,1,0.005102041,0.071428571
538,10,1,0.051282051,0.221140198
539,10,1,0.051020408,0.220602856
540,1,1,0.005263158,0.072547625
541,1,1,0.005263158,0.072547625
542,1,1,0.005291005,0.072739297
543,1,1,0.005291005,0.072739297
544,1,1,0.005319149,0.072932496
545,1,1,0.005319149,0.072932496
546,15,2,0.080213904,0.291425782
547,19,2,0.100529101,0.334933679
548,1,1,0.005649718,0.075164603
549,1,1,0.005649718,0.075164603
550,17,2,0.095505618,0.347520714
551,19,2,0.107954545,0.392420064
552,22,4,0.133333333,0.524210595
553,1,1,0.006060606,0.077849894
554,1,1,0.006060606,0.077849894
555,25,4,0.15060241,0.535044262
556,1,1,0.006369427,0.079808688
557,1,1,0.006369427,0.079808688
558,15,3,0.095541401,0.371818806
559,1,1,0.006578947,0.081110711
560,1,1,0.006578947,0.081110711
561,16,4,0.105960265,0.464073527
562,1,1,0.006849315,0.082760589
563,1,1,0.006849315,0.082760589
564,13,4,0.089655172,0.423563608
565,10,2,0.071428571,0.30916125
566,12,3,0.088235294,0.393852543
567,13,3,0.097744361,0.441496451
568,19,5,0.146153846,0.623960077
569,398,14,2.905109489,1.913124991
570,3,1,0.014778325,0.120962825
571,3,1,0.014778325,0.120962825
572,3,1,0.014925373,0.121557062
573,3,1,0.014925373,0.121557062
574,5,1,0.024875622,0.156134908
575,5,1,0.024752475,0.155755862
576,1,1,0.005025126,0.070888121
577,1,1,0.005025126,0.070888121
578,10,2,0.050505051,0.241557441
579,14,2,0.069651741,0.308422402
580,1,1,0.005208333,0.072168784
581,1,1,0.005208333,0.072168784
582,8,2,0.041884817,0.225539371
583,13,2,0.067708333,0.290511299
584,1,1,0.005376344,0.073323558
585,1,1,0.005376344,0.073323558
586,11,1,0.059139785,0.23652281
587,12,2,0.064171123,0.286149319
588,2,1,0.011049724,0.104825266
589,2,1,0.011049724,0.104825266
590,5,1,0.027932961,0.165243015
591,11,2,0.061111111,0.262431452
592,18,1,0.102857143,0.304643861
593,1,1,0.005780347,0.076028592
594,1,1,0.005780347,0.076028592
595,21,2,0.119318182,0.37412235
596,1,1,0.00625,0.079056942
597,1,1,0.00625,0.079056942
598,10,2,0.062893082,0.268269999
599,14,2,0.088607595,0.345669236
600,1,1,0.006622517,0.081378846
601,1,1,0.006622517,0.081378846
602,12,3,0.079470199,0.391972428
603,6,3,0.040816327,0.28375059
604,11,4,0.076388889,0.411034191
605,1,1,0.006944444,0.083333333
606,1,1,0.006944444,0.083333333
607,22,4,0.150684932,0.542566897
608,11,2,0.079710145,0.343056127
